,MDS1,MDS2,MDS3,PCA1,PCA2,PCA3,TSN1,TSN2,TSN3,name,color,years
28,44.7851366459,-38.8798999976,25.1070856993,-35.4558138173,-30.1374501717,14.5601698628,5.26237359437,-2.1493435491,0.913223800066,James Monroe,#dac90b,#344856
29,35.7236738217,-65.6119342084,29.088711616,-36.0199301931,-29.2759580722,17.0111002188,21.6142413382,-14.2233918187,20.8164631689,James Monroe,#dac90b,#344958
30,71.4045510235,-48.8274488752,29.3433508732,-31.3517240549,-33.7705748526,18.6431637157,25.7835588091,0.334622307026,-0.819335275514,James Monroe,#dac90b,#344959
31,32.0407546325,-44.2065810621,41.7401950808,-50.3902426612,-23.1950328633,12.8918415925,76.4679457996,13.8171637594,-6.06151904299,James Monroe,#dac90b,#344a5a
32,50.5742245649,-79.1619101606,14.4496753041,-19.7453323789,-36.3337610929,15.3088065928,17.4897493762,1.32497609574,-1.55991597922,James Monroe,#dac90b,#344b5c
33,45.565517838,-55.1075968383,30.2098150617,-36.6206054816,-28.2376280775,13.3280600837,23.4616187388,10.0295855319,5.25100597002,James Monroe,#dac90b,#344c5d
34,34.5968523892,-59.5056668534,3.878770185,-14.5126422262,-30.9011092582,16.4482021482,24.8695652606,6.44098008576,11.6103433524,James Monroe,#dac90b,#344d5e
35,83.7463056464,-59.0990281736,-0.621397859612,-0.788173702327,-35.1413153015,18.4102382306,-13.8957120686,23.7869065358,-15.1134267158,James Monroe,#dac90b,#344d5f
36,-16.5987656442,-101.422043173,-13.3923973809,7.87834381727,-26.2174023569,13.1281056212,-11.1308957931,8.19394318014,5.74496032851,John Quincy Adams,#dac90b,#344e60
37,114.028489749,-4.11447798424,-13.2769672426,16.2480890893,-35.0793194141,28.3822899801,-7.76421274731,46.843012406,81.6286189425,John Quincy Adams,#dac90b,#344f62
38,78.9664707162,-34.1517977196,1.17718378251,-5.79091522853,-32.897222105,20.8990903248,-13.4852998125,3.01352139361,1.83564368766,John Quincy Adams,#dac90b,#345064
39,8.16594228787,-90.1018311491,-4.14136213279,-3.44798675968,-29.0305165591,15.9284764749,-15.7034967572,-1.78273478201,-0.867189523233,John Quincy Adams,#dac90b,#345165
40,49.9377226552,5.59106194947,-62.8175228005,34.8048174039,-41.5399168115,3.01918216999,8.92429620094,5.5131503063,-16.6816554923,Andrew Jackson,#da180b,#345166
41,120.056234667,-13.5981039238,-113.866244186,90.2776394925,-57.7653806537,-2.61391740372,9.64634701205,5.80512418055,-8.41290816019,Andrew Jackson,#da180b,#345267
42,69.2449743561,-12.8505135488,-0.384063348223,-7.72421422575,-35.6748932173,9.32416187261,5.34796955522,-1.82294916036,-11.8052210399,Andrew Jackson,#da180b,#355368
43,18.3681126026,-39.4339339936,-27.9180584548,5.74249491782,-34.9442998343,8.97189359859,6.60749685593,10.2881374088,-21.9038550466,Andrew Jackson,#da180b,#355369
